TransactionID,CustomerID,CustomerName,Email,PhoneNumber,ProductID,ProductName,Category,SubCategory,Price,Discount,Quantity,TotalAmount,PaymentMethod,TransactionDate,DeliveryDate,City,State,Country,DeliveryStatus,CustomerRating
10001,5001,Customer_0,customer_0@example.com,1234567890,3001,Product_0,Category_0,SubCategory_0,50,0,1,50,Credit Card,01-01-2024,02-01-2024,City_0,State_0,Country_0,Delivered,1
10002,5002,Customer_1,customer_1@example.com,1234567891,3002,Product_1,Category_1,SubCategory_1,50.5,0.01,2,99.99,Debit Card,01-01-2024,02-01-2024,City_1,State_1,Country_1,In Transit,5
10003,5003,Customer_2,customer_2@example.com,1234567892,3003,Product_2,Category_2,SubCategory_2,51,0.02,3,149.94,PayPal,01-01-2024,02-01-2024,City_2,State_2,Country_2,Cancelled,5
10004,5004,Customer_3,customer_3@example.com,1234567893,3004,Product_3,Category_3,SubCategory_3,51.5,0.03,4,199.82,Credit Card,01-01-2024,02-01-2024,City_3,State_3,Country_3,Returned,NA
10005,5005,Customer_4,customer_4@example.com,1234567894,3005,Product_4,Category_4,SubCategory_4,52,0.04,5,249.6,Debit Card,01-01-2024,02-01-2024,City_4,State_4,Country_4,Delivered,5
10006,5006,Customer_5,customer_5@example.com,1234567895,3006,Product_5,Category_5,SubCategory_0,52.5,0.05,6,299.25,PayPal,01-01-2024,02-01-2024,City_5,State_5,Country_0,In Transit,NA
10007,5007,Customer_6,customer_6@example.com,1234567896,3007,Product_6,Category_6,SubCategory_1,53,0.06,7,348.74,Credit Card,01-01-2024,02-01-2024,City_6,State_6,Country_1,Cancelled,4
10008,5008,Customer_7,customer_7@example.com,1234567897,3008,Product_7,Category_7,SubCategory_2,53.5,0.07,8,398.04,Debit Card,01-01-2024,02-01-2024,City_7,State_7,Country_2,Returned,NA
10009,5009,Customer_8,customer_8@example.com,1234567898,3009,Product_8,Category_8,SubCategory_3,54,0.08,9,447.12,PayPal,01-01-2024,02-01-2024,City_8,State_8,Country_3,Delivered,4
10010,5010,Customer_9,customer_9@example.com,1234567899,3010,Product_9,Category_9,SubCategory_4,54.5,0.09,10,495.95,Credit Card,01-01-2024,02-01-2024,City_9,State_9,Country_4,In Transit,NA
